ID,Cen,Elderly,Young
M336T380,325123.9403,158719.1427,43022.25978
M146T483,11383096.31,1413981.457,755379.147
M230T375_2,3154630.594,186104.1951,29092.90738
M232T489,1480562.598,294752.9127,256509.1729
M165T200,286344928.5,233807461.1,211006443.8
M166T145,112479704.2,3613064.767,1776371.538
M365T592,1045595.549,313371.4695,130167.0566
M472T653,661432.5196,88645.42814,14822.43375
M179T92,438649689.8,347504282.6,240916595.3
M180T159,183151404.8,120571843.6,85038323.12
M287T95_1,1144444.876,521082.9539,278283.0408
M161T77,8567059.287,2387146.418,1148292.579
M262T247,16415500.25,7643535.255,3256805.036
M269T482,785212.9153,461100.1,126182.2004
M283T702,3321376.01,1838917.485,249368.7521
M289T77,153850.882,73686.75822,15710.5546
M297T397,121269.8939,22416.27142,7049.548391
M266T506,1667007.641,232580.8823,73928.70339
M361T653,357305.7733,62331.71369,11493.50383
M391T765,10211198.43,4524756.384,1322730.288
M464T603_2,38538642.31,20824176.13,7879759.013
