ID,Cen,CE_L,Elderly,Young
M179T587,1089069.302,682156.121,709235.6406,576487.656
M181T553,1669052.349,1094993.011,1300871.869,975374.7137
M150T442,279889.9761,32781.61466,30229.9511,27363.14866
M405T683,371505.4298,39037.73963,183116.6265,55906.23662
M374T764,14992842.84,6717299.351,8480479.152,6551544.132
M123T455,949821.7432,522931.3757,387669.2804,388561.0055
M557T430,157275.1986,78996.14514,90982.73551,104295.5899
M391T804_2,97195314.28,18834261.36,42898155.56,33202153.02
M416T774_1,65190990.28,22556740.99,16198202.1,12804635.57
M289T92,88857762.01,78543530.05,61285621.35,62262604.56
M298T324,2968741.312,2304049.769,2077637.241,1994328.318
M171T79,2770533.404,1991919.159,1781781.472,1567268.254
M182T306_1,1539433.459,807082.5301,620070.8757,398627.4171
M515T732,1001457.385,586701.2215,523675.1487,481454.6233
M243T104,12674409.66,9569345.346,10794356.86,9381532.313
M280T418,1086425.676,796109.3333,872187.8236,752886.9592
M464T667,1333248.993,518550.5708,862320.7849,694729.8922
M134T472,7729351.883,4010107.988,3797615.715,3711737.747
M593T591,1943471.019,562072.8868,54755.88787,32255.68198
M204T698,1237793.848,795412.6535,750260.9182,760645.4011
M166T153_1,6868546.494,5535087.705,4850145.617,4841586.582
