ID,Cen,CE_L,Elderly,Young
M104T97,34234973.55,30998455.5,26452246.47,25155264.9
M111T695,282509336.6,129649129.2,112153991.3,69066539.38
M119T101,4181509.701,4107598.039,582877.5204,608070.9642
M127T315,2106933.468,2155975.747,1528595.987,1424784.539
M130T666,15006231.89,13271960.89,9240227.703,3839351.855
M130T87,61767574.25,62912280.6,50669496.45,52597676.85
M131T93,9198535.226,7167321.248,5573569.233,5255713.352
M134T394,311928.8063,253447.9594,98579.09866,123987.4345
M136T675,2276317.691,2318524.517,1859330.171,1650185.512
M148T150,3712053.207,3783771.228,152523.2355,281953.9887
M149T571,844684.5142,745452.3142,608325.7508,554095.2502
M152T289,783231.619,861733.0811,259162.0008,237172.2147
M153T274_3,19402121.97,17830160.76,10434514.5,13180382.58
M157T389,21156983.65,22959358.71,13242056.55,14631706.01
M161T76,1129310.427,933324.375,401628.6438,374804.7946
M169T343,4530955.96,3950712.652,3595866.254,3815394.827
M175T84,127328132,120112705.4,74283257.9,71421687.03
M176T186,2028984.635,1500950.718,179075.1431,87726.9561
M179T536,5861815.508,6066592.36,3883614.567,3498509.962
M180T719,7787313.733,8216853.372,5358400.826,4197957.621
M298T387,1785960.629,1891769.601,434478.0056,316216.7397
M181T91,5165696.711,4700668.334,4583169.587,3638904.758
M193T536,4686697.43,5201310.671,3140599.921,2801387.096
M195T754,3428732.707,4215840.569,2649755.741,2652543.302
M206T360,1275319.173,1413058.064,636149.1508,466903.974
M228T748,491814794.4,516643782.8,363059921.7,305403155.4
M230T362,19302875.46,20595031.73,17132669.65,16286572.6
M241T434,79955.68804,76736.32941,51083.81216,43456.53201
M245T319,2508242.852,1978285.351,1994244.313,1688551.22
M252T74,711516.9029,562278.0003,213376.9366,133228.5564
M253T580,4844647.301,4082612.552,2425730.219,2154798.086
M267T277,52037102.06,54103335.39,4181703.407,3335475.148
M284T289,3339348.533,3633973.884,809308.8376,1268580.532
M314T387,656722.2676,497193.7016,108191.0978,135617.6485
M414T767_2,62655558.26,53102849.41,35237751.45,26059834.47
M539T759,1510219.483,1504151.677,937172.7732,852180.4656
