ID,CE,NonCE
M107T469,20328642.74,5779812.482
M150T442,279889.9761,31005.51185
M146T483,11383096.31,1024451.115
M230T375_2,3154630.594,107904.9128
M232T489,1480562.598,213519.0378
M226T505,35520083.22,1015106.274
M230T442,26429664.62,924131.765
M472T653,661432.5196,60078.47143
M416T774_1,65190990.28,17925914.4
M289T92,88857762.01,67620805.39
M178T102,695756.865,1100317.839
M180T508,396262.7373,878354.4235
M192T600,1110293.087,527762.9392
M265T461,356097077.7,107400964.4
M287T95_1,1144444.876,390488.9971
M182T306_1,1539433.459,679652.4092
M266T461,54392107.61,14733704.31
M464T667,1333248.993,704259.9213
M247T431,28431389.63,73677633.05
M232T370,41295000.82,21879343.6
M152T490,1545977.659,465140.6552
M134T472,7729351.883,3819030.743
M197T524,2269553.193,3724446.185
M593T591,1943471.019,143697.4062
M330T671,27763.21275,80778.65651
M266T506,1667007.641,97150.29488
M120T534,7722660.21,4068193.38
M314T774,2535964.15,4453245.348
M204T698,1237793.848,770653.632
M353T767,58378.8315,325917.2946
