,Metabolite,VIP_Score
1,3-Oxo-5beta-cholanate,1.004382761
2,Nonadecanoic acid,1.009495786
3,Lipoxin A4,1.011674898
4,Phenylacetylglutamine,1.013662603
5,trans-Ferulic acid,1.034656739
6,12-OPDA,1.056946588
7,"2,3-Butanediol",1.093739585
8,Quinolin-2-ol,1.121444612
9,L-Sorbose,1.147404521
10,Harman,1.172995014
11,Estrone glucuronide,1.182175833
12,5-Methyl-2'-deoxycytidine,1.190712789
13,(2-Naphthalenyloxy)acetic acid,1.19457312
14,Thiopental,1.244922918
15,Indolepyruvate,1.262030046
16,Ecgonine methyl ester,1.306327681
17,[8]-Shogaol,1.33769065
18,4-Oxoglutaramate,1.413742353
19,Tridecanoic acid,1.429061367
20,Isoniazid alpha-ketoglutaric acid,1.490784504
21,5-Methoxyindoleacetate,1.495533601
22,Pyridoxal phosphate,1.550823434
23,Geranyl diphosphate,1.598059561
24,5-Nitro-2-(3-phenylpropylamino)benzoic acid,1.601966099
25,Pentostatin,1.614718151
26,Dopamine,1.739404979
27,Maslinic acid,1.803252205
28,Sakuranetin,1.962516579
29,Baicalein,2.009596713
30,9-Riburonosylhypoxanthine,2.079540881
31,Carglumic acid,2.154065026
32,2-Deoxyecdysone,2.166253225
33,6-Phosphonoglucono-D-lactone,2.388606223
34,"7,8-Dihydroneopterin",3.031715665
