ID,HC,FC
M201T584,71990.9782,54843.63889
M275T772,1765977.886,785293.405
M291T793,858725.7144,595890.6107
M155T38,6391770.248,10650373.26
M449T640,281529.9613,399688.7729
M374T764,10712834.05,20751639.33
M145T100,5513304.728,13749067.81
M204T444,1515365.038,940539.6216
M241T434,105379.627,44446.53405
M301T373,691931.0819,951880.5217
M239T568,840240.4997,284119.244
M254T495,65787.84733,8461.678569
M281T67,234467.8186,49465.45737
M271T725,5028759.798,1653846.745
M189T539,96415.3347,49032.18292
M152T300,50714.2065,25421.72688
M180T508,456837.0443,320672.2376
M445T532,324648.6612,139591.3507
M314T387,456045.5222,810544.5389
M183T719,6636172.354,4554740.675
M202T441,191419.8569,94743.90203
M266T506,1006868.877,2237477.811
M351T689,271424.168,208524.0385
M181T719_2,1258829762,942594410.5
M472T653,627068.1997,901590.5251
M299T837,968704.725,2479704.807
M267T730,164783.6682,123735.0263
M265T461,309218447.8,441230090.2
M247T398,91319.37302,33440.27507
M146T483,9855716.68,13268054.02
M285T440,195770.0826,110851.7636
M241T408,104104.4527,59585.7842
M193T377,91590.29609,43351.21012
M213T782,817174.9305,442845.5382
