,CvsL,CvsE,CvsY,LvsE,LvsY,EvsY
Tryptophan metabolism,0.0000283,0.00000483,1.49E-08,0.8811,0.1737,0.1399
Bacterial chemotaxis,0.01325,0.007429,0.0000467,0.9275,0.2605,0.1935
Longevity regulating pathway - multiple species,0.0002348,0.0001192,0.000000279,0.9951,0.1145,0.1844
Citrate cycle (TCA cycle),0.000059,7.29E-08,1.54E-08,0.4318,0.1642,0.9597
PPAR signaling pathway,0.004941,0.00000237,0.0000152,0.1537,0.1922,0.5827
PI3K-Akt signaling pathway,0.01911,0.004045,0.0008788,0.7573,0.2983,0.6123
Pathogenic Escherichia coli infection,0.0000206,0.0001688,0.003002,0.7618,0.373,0.6123
Alzheimer disease,0.003439,0.006247,0.03721,0.8464,0.3616,0.5297
Butanoate metabolism,0.0002231,0.0000899,0.00000841,0.8606,0.7283,0.6627
Type I diabetes mellitus,0.0001445,0.0001488,0.001138,0.9951,0.6273,0.551
Biofilm formation - Pseudomonas aeruginosa,0.01804,0.02025,0.0007374,0.7259,0.5298,0.3314
Plant-pathogen interaction,0.00274,0.0004161,1.98E-08,0.7268,0.01009,0.06229
Longevity regulating pathway - worm,0.001008,0.01416,0.001322,0.5799,0.6548,0.6338
Bacterial secretion system,0.0007239,0.0002971,0.00000359,0.9951,0.4931,0.614
Glyoxylate and dicarboxylate metabolism,0.01269,0.000274,0.002228,0.6343,0.7673,0.8122
Vitamin B6 metabolism,0.0149,0.001199,0.0001751,0.5837,0.3222,0.9307
RNA transport,0.02756,0.00000483,1.99E-08,0.08591,0.0008801,0.1825
Starch and sucrose metabolism,0.02909,0.0000369,2.67E-08,0.2383,0.002238,0.1935
Phenylpropanoid biosynthesis,0.005187,0.0001488,1.53E-08,0.5837,0.002737,0.05629
Sphingolipid metabolism,0.01938,0.005456,0.0000555,0.9875,0.1778,0.1935
