ID,Y100,Y80,Y70,Y60,Y50,Y40,Y20
M160T295,251795.0176,723281.93,746255.84,336017.64,374910.36,1895392.5,1742744.41
M175T511,482487.4675,854794.09,1087334.78,757298.12,854114.59,318945.67,827148.02
M145T585,1855246.88,3469772.02,3896438.3,2467304.29,2580591.92,4761716.56,5059204.92
M156T781,16233107.45,11721729.91,14315073.41,16479237.79,22868601.09,56780767.59,35834594.9
M170T399,10337829.15,10598302.88,10199336.26,10722679.29,12797543.85,7848605.4,8377004.6
M132T399,6717298.041,6207912.62,6974662.08,7001359.6,7418336.47,4338407.34,5158424.49
M176T94,2002808.322,3044748.84,1242965.79,1275848.43,1250340.55,2202126.46,2416529.7
M191T769,1818719.42,1585729.94,1642030.95,1450446.3,1505223.17,1160396.69,1230534.01
M220T298,86455.03836,460428.5,327785.58,375385.92,843125.38,184439.56,297428.7
M204T444,1230388.712,970541.21,765893.43,644895.26,440114.76,304476.03,392823.65
M249T473,1712852.02,400385.07,475782.09,1198642.59,1884902.8,2074767.94,2085464.75
M134T394,311928.8063,77013.47,108324.82,224223.25,218236.69,149285.36,144658.24
M224T348,18685587.52,37442474.12,31567696.41,26542685.52,21592395.18,134262032.6,85063275.53
M118T401,9607026.514,10532459.49,10264692.27,10430483.41,11096387.18,9210369.13,10325603.02
M176T604,33762833.36,34011558.08,29904640.01,30075354.75,28387752.49,21697236.7,32087147.38
M204T698,1237793.848,870864.96,808485.9,745248.1,725191.37,777045.35,747039.99
M288T89_2,23950557.15,23877575.44,28177957.86,27983507.14,29472394.87,43950783.74,37196678.1
M206T552,22430669.19,22646502.04,20290528.18,19950598.4,22235938.03,18257239.99,16328865.56
M202T441,129504.4646,254284.9,233859.4,108177.12,330523.15,311979.57,351393.01
M188T348,1282303.117,821132.4,861614.3,739814.03,984613.86,646574.51,690312.68
M205T334,53636.02637,47044.84,23578.17,15035.69,15599.61,231393.17,195106.8
M209T337,82996858.09,60122136.84,54225263.47,59971839.51,66443758.2,27042366.02,27805471.96
M203T365,341574452,386336676.6,335120384.6,345867294.1,342499144.1,220808492.2,261237523.3
M190T732,1388570.912,829155.94,619847.94,959197.2,889414.72,444943.12,343518.41
M218T357,2801196.557,5898935.55,4416495.41,3465903.76,3601502.94,2587443.63,3623732.64
M124T144,3665414.153,7617655.51,9155396.41,6859960.02,7759803.06,2655381.78,6449430.13
M134T472,7729351.883,4749609.37,4015924.35,3579966.18,3269887.26,3699108.92,3711737.75
M167T72,31243869.66,33569822.56,28163187.4,27725448.8,30594347.11,20278616.03,20591953.14
M177T315,2696806.476,1123616.52,1366968.99,2956147.37,3680884.27,282749.46,620635.37
M204T321,68575.51758,89471.67,106326,76898.44,97893.47,119599.06,155644.7
